('1', '4', '8', '9', '+', '+', '+') = 22.0
('1', '4', '8', '9', '+', '+', '*') = 21.0
('1', '4', '8', '9', '+', '-', '-') = 14.0
('1', '4', '8', '9', '+', '*', '+') = 69.0
('1', '4', '8', '9', '+', '*', '*') = 68.0
('1', '4', '8', '9', '-', '+', '+') = 4.0
('1', '4', '8', '9', '-', '+', '*') = 3.0
('1', '4', '8', '9', '-', '-', '+') = 6.0
('1', '4', '8', '9', '-', '-', '*') = 5.0
('1', '4', '8', '9', '-', '/', '-') = 5.0
('1', '4', '8', '9', '-', '*', '-') = 5.0
('1', '4', '8', '9', '*', '+', '+') = 77.0
('1', '4', '8', '9', '*', '+', '*') = 76.0
('1', '4', '8', '9', '*', '-', '-') = 69.0
('1', '4', '8', '9', '*', '/', '/') = 18.0
('1', '4', '9', '8', '+', '+', '+') = 22.0
('1', '4', '9', '8', '+', '+', '*') = 21.0
('1', '4', '9', '8', '+', '-', '-') = 14.0
('1', '4', '9', '8', '+', '*', '+') = 69.0
('1', '4', '9', '8', '+', '*', '*') = 68.0
('1', '4', '9', '8', '-', '+', '+') = 6.0
('1', '4', '9', '8', '-', '+', '*') = 5.0
('1', '4', '9', '8', '-', '-', '+') = 4.0
('1', '4', '9', '8', '-', '-', '*') = 3.0
('1', '4', '9', '8', '-', '/', '+') = 5.0
('1', '4', '9', '8', '-', '/', '*') = 4.0
('1', '4', '9', '8', '-', '*', '+') = 5.0
('1', '4', '9', '8', '-', '*', '*') = 4.0
('1', '4', '9', '8', '*', '+', '+') = 77.0
('1', '4', '9', '8', '*', '+', '*') = 76.0
('1', '4', '9', '8', '*', '-', '-') = 69.0
('1', '4', '9', '8', '*', '/', '/') = 18.0
('1', '8', '4', '9', '+', '+', '+') = 22.0
('1', '8', '4', '9', '+', '+', '*') = 21.0
('1', '8', '4', '9', '+', '-', '-') = 6.0
('1', '8', '4', '9', '-', '+', '+') = 4.0
('1', '8', '4', '9', '-', '+', '*') = 3.0
('1', '8', '4', '9', '-', '-', '+') = 14.0
('1', '8', '4', '9', '-', '-', '*') = 13.0
('1', '8', '4', '9', '-', '*', '-') = 41.0
('1', '8', '4', '9', '/', '/', '+') = 19.0
('1', '8', '4', '9', '/', '/', '*') = 18.0
('1', '8', '4', '9', '*', '+', '+') = 45.0
('1', '8', '4', '9', '*', '+', '*') = 44.0
('1', '8', '4', '9', '*', '-', '-') = 29.0
('1', '8', '9', '4', '+', '+', '+') = 22.0
('1', '8', '9', '4', '+', '+', '*') = 21.0
('1', '8', '9', '4', '+', '-', '-') = 6.0
('1', '8', '9', '4', '-', '+', '+') = 14.0
('1', '8', '9', '4', '-', '+', '*') = 13.0
('1', '8', '9', '4', '-', '-', '+') = 4.0
('1', '8', '9', '4', '-', '-', '*') = 3.0
('1', '8', '9', '4', '-', '*', '+') = 41.0
('1', '8', '9', '4', '-', '*', '*') = 40.0
('1', '8', '9', '4', '/', '*', '+') = 19.0
('1', '8', '9', '4', '/', '*', '*') = 18.0
('1', '8', '9', '4', '*', '+', '+') = 45.0
('1', '8', '9', '4', '*', '+', '*') = 44.0
('1', '8', '9', '4', '*', '-', '-') = 29.0
('1', '9', '4', '8', '+', '+', '+') = 22.0
('1', '9', '4', '8', '+', '+', '*') = 21.0
('1', '9', '4', '8', '+', '-', '-') = 4.0
('1', '9', '4', '8', '-', '+', '+') = 6.0
('1', '9', '4', '8', '-', '+', '*') = 5.0
('1', '9', '4', '8', '-', '-', '+') = 14.0
('1', '9', '4', '8', '-', '-', '*') = 13.0
('1', '9', '4', '8', '-', '*', '-') = 37.0
('1', '9', '4', '8', '/', '/', '+') = 19.0
('1', '9', '4', '8', '/', '/', '*') = 18.0
('1', '9', '4', '8', '*', '+', '+') = 42.0
('1', '9', '4', '8', '*', '+', '*') = 41.0
('1', '9', '4', '8', '*', '-', '-') = 24.0
('1', '9', '8', '4', '+', '+', '+') = 22.0
('1', '9', '8', '4', '+', '+', '*') = 21.0
('1', '9', '8', '4', '+', '-', '-') = 4.0
('1', '9', '8', '4', '-', '+', '+') = 14.0
('1', '9', '8', '4', '-', '+', '*') = 13.0
('1', '9', '8', '4', '-', '-', '+') = 6.0
('1', '9', '8', '4', '-', '-', '*') = 5.0
('1', '9', '8', '4', '-', '*', '+') = 37.0
('1', '9', '8', '4', '-', '*', '*') = 36.0
('1', '9', '8', '4', '/', '+', '+') = 12.0
('1', '9', '8', '4', '/', '+', '*') = 11.0
('1', '9', '8', '4', '/', '-', '+') = 8.0
('1', '9', '8', '4', '/', '-', '*') = 7.0
('1', '9', '8', '4', '/', '*', '+') = 19.0
